nombre,moneda,ultimo,dia_pct,mes_pct,anio_pct
AE38,USD,"109.500,00","-1,49%","-0,18%","31,01%"
AE38D,USD,"75,30","0,29%","1,76%","5,57%"
AL29,USD,"97.100,00","-1,34%","-1,36%","17,16%"
AL29D,USD,"66,80","0,32%","-0,21%","-5,17%"
AL30,USD,"93.100,00","-1,32%","-1,39%","20,49%"
AL30C,USD,"63,15","0,32%","0,24%",
AL30D,USD,"64,00","0,41%","0,16%","-3,07%"
AL35,USD,"105.500,00","-0,63%","-0,94%","33,51%"
AL35D,USD,"71,50","-0,57%","-0,47%","5,94%"
AL41,USD,"97.750,00","-1,54%","-0,06%","29,77%"
AL41D,USD,"67,44","0,43%","2,65%","4,82%"
BA37D,USD,"101.320,00","-0,86%","-1,68%","39,74%"
BB37D,USD,"98.400,00","0,66%","-0,05%","44,38%"
BC37D,USD,"88.850,00","-1,39%","-3,40%","30,63%"
BDC28,USD,"116,00","-1,32%","0,43%","39,47%"
BOL10,USD,"142.310,00","0,07%","-4,16%","20,31%"
BPOA7,USD,"145.450,00","-2,25%","-3,10%","35,91%"
BPY26,USD,"147.490,00","-1,48%","-1,34%","35,04%"
GD29,USD,"102.000,00","-1,69%","0,29%","19,49%"
GD29D,USD,"69,90",,"2,10%","-4,30%"
GD30,USD,"96.630,00","-2,10%","-1,85%","23,53%"
GD30C,USD,"65,74","0,03%","0,67%",
GD30D,USD,"66,85","0,21%","0,68%","-0,19%"
GD35,USD,"107.450,00","-1,42%","-0,33%","35,43%"
GD35D,USD,"74,00","0,54%","1,12%","8,98%"
GD38,USD,"113.100,00","-1,21%","0,53%","35,38%"
GD38D,USD,"77,92","0,65%","2,53%","8,64%"
GD41,USD,"99.510,00","-1,48%","-0,47%","32,81%"
GD41D,USD,"68,80","1,03%","2,08%","7,53%"
GD46,USD,"100.990,00","-0,67%","-0,98%","29,46%"
GD46D,USD,"68,90","0,03%","1,03%","2,87%"
LOC30,USD,"149.840,00","-0,11%","-0,11%","27,36%"
SA24D,USD,"95.520,00","0,01%","0,02%","34,44%"
ZZC1D,USD,"101,70","-1,55%","0,25%",
CO26,ARS,"19.050,00","-1,78%","-2,31%","18,78%"
CO26D,ARS,"13,10","2,34%","0,38%","-2,38%"
CUAP,ARS,"31.995,00","0,14%","0,95%","18,94%"
DICP,ARS,"43.880,00","0,41%","-0,05%","33,28%"
DIPO,ARS,"43.590,00","2,32%","2,81%","28,25%"
DNC3O,ARS,"152.000,00","-2,06%","-4,16%","26,79%"
MRCAO,ARS,"28.000,00","0,05%","5,46%","-62,14%"
MRCR0,ARS,"37.000,00","22,84%","-13,72%","-53,28%"
NDT25,ARS,"100.000,00","-1,77%","-0,50%","17,03%"
PAP0,ARS,"25.680,00","-0,04%","-1,23%","20,92%"
PARP,ARS,"25.950,00","-0,73%","1,76%","21,94%"
PBY26,USD,"101,85","0,64%","-10,66%","28,29%"
PMM29,ARS,"78.000,00",,"0,65%","34,19%"
TLCQO,ARS,"151.500,00","-0,98%","-0,33%",
TO26,ARS,"89,43","0,08%","0,15%","16,04%"
TVPA,ARS,"2.189,00","-3,67%","8,10%","-11,73%"
TVPP,ARS,"15,99","-0,99%","-2,20%","-42,02%"
TVPY,ARS,"4.000,00",,"-0,50%","8,40%"
TX26,ARS,"1.084,00","-0,03%","-35,01%","-11,39%"
TX26D,ARS,"0,74","-0,76%","-33,89%","-28,17%"
TX28,ARS,"1.543,00","-2,06%","-15,96%","15,11%"
TX28D,ARS,"1,08","1,42%","-14,96%","-6,90%"
TZV26,ARS,"138.400,00","-1,56%","-0,57%","47,23%"
TZXD5,ARS,"236,45","0,42%","0,75%","36,28%"
YM34O,ARS,"152.480,00","-1,72%","-2,26%",
ZZC1O,ARS,"149.300,00","-2,48%","0,20%",
