fecha,banda_inferior,banda_superior,ancho
2025-11,951.0,1471.0,520.0
2025-12,941.49,1485.71,544.22
2026-01,932.08,1500.57,568.49
2026-02,922.75,1515.57,592.82
2026-03,913.53,1530.73,617.2
2026-04,904.39,1546.04,641.64
2026-05,895.35,1561.5,666.15
2026-06,886.39,1577.11,690.72
2026-07,877.53,1592.88,715.35
2026-08,868.75,1608.81,740.06
2026-09,860.07,1624.9,764.83
2026-10,851.47,1641.15,789.68
2026-11,842.95,1657.56,814.61
2026-12,834.52,1674.14,839.61
2027-01,826.18,1690.88,864.7
2027-02,817.92,1707.79,889.87
2027-03,809.74,1724.86,915.13
2027-04,801.64,1742.11,940.47
2027-05,793.62,1759.53,965.91
2027-06,785.69,1777.13,991.44
2027-07,777.83,1794.9,1017.07
2027-08,770.05,1812.85,1042.8
2027-09,762.35,1830.98,1068.63
2027-10,754.73,1849.29,1094.56
2027-11,747.18,1867.78,1120.6
2027-12,739.71,1886.46,1146.75
2028-01,732.31,1905.32,1173.01
2028-02,724.99,1924.38,1199.39
2028-03,717.74,1943.62,1225.88
2028-04,710.56,1963.06,1252.49
2028-05,703.46,1982.69,1279.23
2028-06,696.42,2002.51,1306.09
2028-07,689.46,2022.54,1333.08
2028-08,682.56,2042.76,1360.2
2028-09,675.74,2063.19,1387.45
2028-10,668.98,2083.82,1414.84
2028-11,662.29,2104.66,1442.37
2028-12,655.67,2125.71,1470.04
