nombre,moneda,ultimo,dia_pct,mes_pct,anio_pct
LELITEOCT,ARS,992.5,0.05,0.42,23.8
LELITENOV,ARS,993.1,0.03,0.38,24.1
LELITEDIC,ARS,994.2,0.02,0.25,25.0
LEDESOCT25,ARS,985.0,-0.08,-0.3,21.5
LEDESNOV25,ARS,987.3,-0.05,-0.24,22.0
LEDESDIC25,ARS,989.1,0.1,0.35,23.4
LECAPENE26,ARS,995.0,0.12,0.4,23.75
LECAPMAR26,ARS,996.3,0.1,0.37,24.05
LECERJUN26,ARS,104.1,-0.05,0.18,28.5
LECERSEP26,ARS,106.8,-0.07,0.24,29.1
LECERDIC26,ARS,108.4,0.09,0.41,30.0
LECERMAR27,ARS,110.0,0.12,0.5,31.2
LETEUSD25,USD,98.4,0.02,0.05,5.3
LETEUSD26,USD,96.75,-0.03,0.1,5.45
LETEUSD27,USD,94.6,-0.06,-0.12,5.7
LETEUSD28,USD,92.8,-0.09,-0.15,6.1
