Fecha,Banda Inferior,Banda Superior
1/10/2025,"944,64","1.481,21"
2/10/2025,"944,32","1.481,70"
3/10/2025,"944,01","1.482,19"
6/10/2025,"943,06","1.483,67"
7/10/2025,"942,74","1.484,16"
8/10/2025,"942,43","1.484,65"
9/10/2025,"942,11","1.485,14"
13/10/2025,"940,85","1.487,11"
14/10/2025,"940,53","1.487,61"
15/10/2025,"940,22","1.488,10"
16/10/2025,"939,90","1.488,59"
17/10/2025,"939,59","1.489,09"
20/10/2025,"938,65","1.490,57"
21/10/2025,"938,33","1.491,07"
22/10/2025,"938,02","1.491,56"
23/10/2025,"937,70","1.492,05"
24/10/2025,"937,39","1.492,55"
27/10/2025,"936,45","1.494,04"
28/10/2025,"936,13","1.494,53"
29/10/2025,"935,82","1.495,03"
30/10/2025,"935,51","1.495,52"
31/10/2025,"935,19","1.496,02"
