Especie,Último,% Día,% Mes,% Año,Anterior,Apertura,Mínimo,Máximo,Hora,Vol. Nominal,Vol. Efectivo
AE38,"101.790,00","-0,20","26,45","21,79","101.990,00","101.990,00","100.700,00","102.000,00",11:07,1.258.034,"1.280.603.355,00"
AE38D,"69,68","0,99","25,78","-2,31","69,00","68,12","68,12","69,77",11:07,1.486.462,"1.031.578,00"
AL29,"96.730,00","-0,99","17,46","16,71","97.700,00","97.700,00","95.840,00","99.160,00",11:07,84.602,"82.300.763,00"
AL29D,"66,40","0,39","17,58","-5,74","66,14","66,00","65,50","66,70",11:07,47.846,"31.653,00"
AL30,"92.470,00","-0,73","23,29","19,67","93.150,00","92.500,00","90.950,00","93.180,00",11:07,20.937.107,"19.412.890.597,00"
AL30C,"62,72","0,35","21,15",-,"62,50","61,75","61,75","62,98",11:07,6.988.838,"4.378.074,00"
AL30D,"63,30","0,43","18,96","-4,13","63,03","63,00","62,51","63,47",11:07,14.639.692,"9.255.787,00"
AL35,"100.610,00","-0,47","28,15","27,32","101.090,00","101.990,00","99.000,00","101.990,00",11:07,1.176.623,"1.184.994.357,00"
AL35D,"69,00","1,02","27,97","2,24","68,30","68,20","68,00","69,00",11:07,105.936,"72.827,00"
AL41,"91.050,00","-0,38","23,41","20,88","91.400,00","91.400,00","89.010,00","92.000,00",11:07,2.703.011,"2.472.827.431,00"
AL41D,"62,40","0,66","24,30","-3,02","61,99","61,00","61,00","62,65",11:07,61.067,"38.052,00"
BA37D,"98.800,00","-1,21","23,58","36,27","100.010,00","100.000,00","98.520,00","100.000,00",11:07,35.447,"35.386.855,00"
BB37D,"92.000,00","-3,15","20,42","34,99","94.990,00","96.000,00","92.000,00","96.000,00",10:41,419,"391.684,00"
BC37D,"86.500,00","0,70","18,66","27,18","85.900,00","86.500,00","86.490,00","86.500,00",11:01,405,"350.324,00"
BDC28,"108,00","-0,46","2,86","29,85","108,50","108,50","108,20","109,55",10:43,5.000,"5.454,00"
BPOA7,"149.740,00","-0,28","-1,16","36,56","150.160,00","152.140,00","149.740,00","152.140,00",11:03,13,"19.492,00"
BPY26,"145.250,00","-1,86","-4,00","32,99","148.010,00","145.080,00","145.080,00","145.250,00",10:55,5.700,"8.278.530,00"
CUAP,"29.835,00","3,16","28,65","10,91","28.920,00","28.820,00","28.820,00","29.045,00",11:07,91,"26.381,00"
DICP,"40.885,00","0,21","27,77","24,18","40.800,00","41.000,00","39.000,00","41.000,00",10:46,83.590,"33.403.029,00"
DIP0,"39.100,00","-2,98","26,95","15,04","40.300,00","40.580,00","40.580,00","40.985,00",10:43,2.022,"820.536,00"
DNC3O,"149.600,00","-0,72","2,49","24,79","150.690,00","150.690,00","145.820,00","155.490,00",11:07,6.297,"9.301.567,00"
GD29,"100.100,00","-0,69","14,73","17,27","100.800,00","100.800,00","98.410,00","100.800,00",11:07,59.244,"58.954.454,00"
GD29D,"68,88","0,85","14,04","-5,70","68,30","67,26","67,25","68,88",11:07,92.002,"62.210,00"
GD30,"96.500,00","-0,83","17,68","23,36","97.310,00","97.300,00","96.010,00","97.310,00",11:07,1.683.101,"1.629.452.274,00"
GD30C,"65,40","0,31","18,48",-,"65,20","65,11","65,11","65,42",11:07,5.800,"3.792,00"
GD30D,"65,97","-0,11","16,49","-1,51","66,04","66,45","65,10","66,45",11:07,516.377,"340.478,00"
GD35,"104.600,00","-0,57","26,19","31,84","105.200,00","105.000,00","104.170,00","105.300,00",11:07,545.909,"572.667.195,00"
GD35D,"71,64","0,73","25,93","5,51","71,12","69,87","69,87","71,84",11:07,531.011,"379.415,00"
GD38,"109.980,00","-1,19","23,56","31,65","111.310,00","109.310,00","109.310,00","112.000,00",11:07,63.999,"70.755.754,00"
GD38D,"75,49","-0,24","23,73","5,26","75,67","73,00","73,00","75,82",11:07,57.639,"43.450,00"
GD41,"96.490,00","-0,58","26,96","28,78","97.050,00","96.900,00","95.820,00","97.350,00",11:07,778.898,"753.524.480,00"
GD41D,"66,12","0,18","26,18","3,34","66,00","65,00","65,00","66,30",11:07,98.542,"64.990,00"
GD46,"97.480,00","-0,23","24,19","24,96","97.700,00","97.710,00","94.670,00","99.400,00",11:07,7.838,"7.658.721,00"
