Código,Tipo,Liquidación,Fecha,Hora,Moneda,Variación,Último Pcio.,Apertura,Cierre Ant.,Pcio. Máx.,Pcio. Mín.,V.Nominal,Mto. Negoc.,OP
,BAN25,LETRAS,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$83,42","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BAN25,LETRAS,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$81,20","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BGD25,LETRAS,24 hs.,28/10/2025 16:45,Pesos Argentinos,"0,00%","$110,00","$110,00","$110,00","$110,00","$110,00",V$26.003,$28.603,11
,,,,,,,,,,,,,,
,BL2N5,LETRAS,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$110,50","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BL2N5,LETRAS,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$110,50","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BN2M6,LETRAS,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$0,01","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BN2MX,LETRAS,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$545,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BNA26,LETRAS,Inmed.,28/10/2025 15:10,Pesos Argentinos,"-0,66%","$74.500,00","$74.100,00","$75.000,00","$74.500,00","$72.000,00",V$1.425,$1.058.094,11
,,,,,,,,,,,,,,
,BNA26,LETRAS,24 hs.,28/10/2025 16:52,Pesos Argentinos,"3,24%","$76.000,00","$73.610,00","$73.610,00","$82.000,00","$73.000,00",V$30.402,$23.061.359,105
,,,,,,,,,,,,,,
,BNA6C,LETRAS,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$50,03","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BNA6C,LETRAS,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$49,28","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BNA6D,LETRAS,Inmed.,28/10/2025 14:23,Dólar Estadounidense,"-0,19%","$51,90","$50,00","$52,00","$52,35","$49,50",V$9.391,$4.882,11
,,,,,,,,,,,,,,
,BNA6D,LETRAS,24 hs.,28/10/2025 16:36,Dólar Estadounidense,"-0,09%","$51,00","$50,10","$51,05","$52,40","$50,10",V$25.102,$12.978,44
,,,,,,,,,,,,,,
,BNA6X,LETRAS,Inmed.,28/10/2025 13:55,Pesos Argentinos,"0,00%","$75.786,00","$0,00","$72.267,00","$75.786,00","$74.868,00",V$10.392.156,$7.807.799.352,5
,,,,,,,,,,,,,,
,BNA6X,LETRAS,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$79.638,50","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BNA6Y,LETRAS,Inmed.,28/10/2025 13:08,Dólar Estadounidense,"0,00%","$51,00","$0,00","$51,00","$51,00","$51,00",V$5.882.352,$3.000.000,3
,,,,,,,,,,,,,,
,BNA6Z,LETRAS,Inmed.,28/10/2025 13:55,Dólar Cable,"0,00%","$51,00","$0,00","$50,50","$51,00","$51,00",V$4.509.804,$2.300.000,2
,,,,,,,,,,,,,,
,BNA6Z,LETRAS,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$50,50","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BNM26,LETRAS,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$51.959,87","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BU4J6,LETRAS,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$121,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,BU4J6,LETRAS,24 hs.,28/10/2025 14:08,Pesos Argentinos,"0,00%","$105,65","$100,00","$105,65","$105,65","$100,00",V$43.900.000,$46.379.744,3
,,,,,,,,,,,,,,
,D16E6,LETRAS TESORO NAC,Inmed.,28/10/2025 16:11,Pesos Argentinos,"0,00%","$142.000,00","$0,00","$139.639,50","$142.500,00","$135.200,00",V$22.403.908,$31.039.088.291,11
,,,,,,,,,,,,,,
,D16E6,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"2,94%","$143.500,00","$140.000,00","$139.400,00","$144.980,00","$140.000,00",V$32.513.474,$46.406.751.141,328
,,,,,,,,,,,,,,
,D28N5,LETRAS TESORO NAC,Inmed.,28/10/2025 16:46,Pesos Argentinos,"4,16%","$144.790,00","$143.000,00","$139.000,00","$144.790,00","$141.620,00",V$354.665,$506.971.267,269
,,,,,,,,,,,,,,
,D28N5,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"2,79%","$143.500,00","$140.400,00","$139.600,00","$146.000,00","$140.400,00",V$407.961.704,$583.121.046.855,1.327
,,,,,,,,,,,,,,
