Banco,Plazo,Tasa
Banco CMF,Plazo Fijo 30 días,54.00%
Banco Voii,Plazo Fijo 30 días,54.00%
Banco BICA,Plazo Fijo 30 días,53.00%
Banco Meridian,Plazo Fijo 30 días,52.00%
Crédito Regional,Plazo Fijo 30 días,52.00%
BANCO BICA SOCIEDAD ANONIMA,Plazo Fijo 30 días,50.00%
Banco del Sol,Plazo Fijo 30 días,48.00%
Bancor,Plazo Fijo 30 días,46.00%
Reba,Plazo Fijo 30 días,46.00%
Banco Mariva,Plazo Fijo 30 días,45.00%
BANCO DE COMERCIO S.A.,Plazo Fijo 30 días,44.00%
Ualá,Plazo Fijo 30 días,43.00%
Banco Dino,Plazo Fijo 30 días,42.00%
BANCO PROVINCIA DE TIERRA DEL FUEGO,Plazo Fijo 30 días,41.00%
Banco de Corrientes,Plazo Fijo 30 días,40.00%
Banco del Chubut,Plazo Fijo 30 días,40.00%
Bibank,Plazo Fijo 30 días,40.00%
Banco Nación,Plazo Fijo 30 días,39.50%
Banco Provincia,Plazo Fijo 30 días,39.00%
Banco Macro,Plazo Fijo 30 días,39.00%
Banco Ciudad,Plazo Fijo 30 días,38.00%
Banco Hipotecario,Plazo Fijo 30 días,38.00%
Banco Santander,Plazo Fijo 30 días,37.00%
Banco Julio,Plazo Fijo 30 días,37.00%
Banco Comafi,Plazo Fijo 30 días,35.50%
ICBC,Plazo Fijo 30 días,35.30%
Banco Masventas,Plazo Fijo 30 días,35.00%
Banco Credicoop,Plazo Fijo 30 días,33.00%
BBVA,Plazo Fijo 30 días,32.00%
BANCO SANTANDER ARGENTINA SOCIEDAD ANONIMA,Plazo Fijo 30 días,32.00%
BANCO DE GALICIA Y BUENOS AIRES S.A.,Plazo Fijo 30 días,31.00%
Banco Galicia,Plazo Fijo 30 días,30.25%
Banco de Formosa,Plazo Fijo 30 días,30.00%
HSBC,Plazo Fijo 30 días,28.00%
